TABLE=GLecteur
Numero;Nom;Description;Extension
1;Local Info\n;Local Info\n;(Null)
2;Parking Cassin\n;Parking Cassin\n;(Null)
3;Parking Prom\n;Parking Prom\n;(Null)
4;Porte coulissante Prom\n;Porte coulissante Prom\n;(Null)
5;Entrée Parking Nice 400\n;Entrée Parking Nice 400\n;(Null)
6;Entrée Parking N-1\n;Entrée Parking N-1\n;(Null)
7;Sortie Parking N-1\n;Sortie Parking N-1\n;(Null)
8;ACCES TOTAL;ACCES TOTAL;(Null)
9;Accès Réserve 1;Accès Réserve 1;(Null)
10;Accès  Espace Travail;Accès  Espace Travail;(Null)
11;Accès Extérieur R+2;Accès Extérieur R+2;(Null)
12;Accès Réserve 2;Accès Réserve 2;(Null)
13;Accès Appareil Cardio;Accès Appareil Cardio;(Null)
14;Accès Déballage;Accès Déballage;(Null)
15;Accès Service Généraux RDC;Accès Service Généraux RDC;(Null)
16;Accès Vestiare Femme;Accès Vestiare Femme;(Null)
17;Accès Vestiare Homme;Accès Vestiare Homme;(Null)
18;Accès Local Rangement;Accès Local Rangement;(Null)
19;Accès Service Généraux R-1;Accès Service Généraux R-1;(Null)
20;Accès Porte Principale Cassin;Accès Porte Principale Cassin;(Null)
21;Accès Sortie de Secours Cassin;Accès Sortie de Secours Cassin;(Null)
22;Accès Quai de Livraison;Accès Quai de Livraison;(Null)
