TABLE=Profil
Numero;Nom;Description;Extension
1;01- VEHICULES DE SERVICE;01- VEHICULES DE SERVICE;(Null)
2;02- ENTREPRISE NETTOYAGE;02- ENTREPRISE NETTOYAGE;(Null)
3;04- ENFANTS;04- ENFANTS;(Null)
4;05- PERSONNEL NON TITULAIRE;05- PERSONNEL NON TITULAIRE;(Null)
5;06- PERSONNEL TITULAIRE1;06- PERSONNEL TITULAIRE1;(Null)
6;07- PERSONNEL TITULAIRE2;07- PERSONNEL TITULAIRE2;(Null)
7;08- PERSONNEL DE SECURITE;08- PERSONNEL DE SECURITE;(Null)
8;09- SOCIETE DE GARDIENNAGE;09- SOCIETE DE GARDIENNAGE;(Null)
9;10- DIRECTEUR;10- DIRECTEUR;(Null)
10;5b- PERSONNEL NON TIT HEBERGE;5b- PERSONNEL NON TIT HEBERGE;(Null)
11;6b- PERSONNEL TIT1 HEBERGE;6b- PERSONNEL TIT1 HEBERGE;(Null)
12;7b- PERSONNEL TIT2 HEBERGE;7b- PERSONNEL TIT2 HEBERGE;(Null)
13;Parking supprim� - Cat 6 Titulaires 1;Parking supprim� - Cat 6 Titulaires 1;(Null)
14;Etudiants;Etudiants;(Null)
15;ADMINISTRATIF;ADMINISTRATIF;(Null)
16;PROFESSEUR;PROFESSEUR;(Null)
17;Visiteur;Visiteur;(Null)
18;PRESTATAIREENTRETIEN;PRESTATAIREENTRETIEN;(Null)
19;VACATAIRE;VACATAIRE;(Null)
20;VISITEURS;VISITEURS;(Null)
21;LOGISTIQUE;LOGISTIQUE;(Null)
