TABLE=BadgeAcces
Badge;GLecteur;PHoraire;PHoraireCrise1;PHoraireCrise2;Extension
200000712;2;3095;0;0;(Null)
200000712;3;3095;0;0;(Null)
200000712;5;3095;0;0;(Null)
200000712;6;3095;0;0;(Null)
200000712;7;3095;0;0;(Null)
300000228;2;2688;0;0;(Null)
300000228;3;2688;0;0;(Null)
300000228;5;2688;0;0;(Null)
300000228;6;2688;0;0;(Null)
300000228;7;2688;0;0;(Null)
300000280;2;2688;0;0;(Null)
300000280;3;2688;0;0;(Null)
300000280;5;2688;0;0;(Null)
300000280;6;2688;0;0;(Null)
300000280;7;2688;0;0;(Null)
300000335;2;2688;0;0;(Null)
300000335;3;2688;0;0;(Null)
300000335;5;2688;0;0;(Null)
300000335;6;2688;0;0;(Null)
300000335;7;2688;0;0;(Null)
400000145;1;2688;0;0;(Null)
400000145;2;2688;0;0;(Null)
400000145;3;2688;0;0;(Null)
400000145;4;2688;0;0;(Null)
400000145;5;2688;0;0;(Null)
400000145;6;2688;0;0;(Null)
400000145;7;2688;0;0;(Null)
400000281;8;2688;0;0;(Null)
400000648;3;8502;0;0;(Null)
400000648;6;8502;0;0;(Null)
400000648;7;8502;0;0;(Null)
400011510;2;3095;0;0;(Null)
400011510;3;3095;0;0;(Null)
400011510;5;3095;0;0;(Null)
400011510;6;3095;0;0;(Null)
400011510;7;3095;0;0;(Null)
