TABLE=ProfilAcces
Profil;GLecteur;PHoraire;PHoraireCrise1;PHoraireCrise2;Extension
1;4;2688;0;0;(Null)
1;5;8501;0;0;(Null)
1;6;8501;0;0;(Null)
1;7;8501;0;0;(Null)
2;1;2703;0;0;(Null)
2;2;2703;0;0;(Null)
2;3;2703;0;0;(Null)
2;4;2688;0;0;(Null)
2;5;2703;0;0;(Null)
2;6;2703;0;0;(Null)
2;8;2703;0;0;(Null)
3;3;3098;0;0;(Null)
4;1;3097;0;0;(Null)
4;2;3097;0;0;(Null)
4;3;3097;0;0;(Null)
4;8;3097;0;0;(Null)
5;1;8502;0;0;(Null)
5;2;3097;0;0;(Null)
5;3;3097;0;0;(Null)
5;4;2688;0;0;(Null)
5;5;3097;0;0;(Null)
5;6;8502;0;0;(Null)
5;7;8502;0;0;(Null)
5;8;3097;0;0;(Null)
6;1;8501;0;0;(Null)
6;2;8501;0;0;(Null)
6;3;8501;0;0;(Null)
6;4;2688;0;0;(Null)
6;5;8501;0;0;(Null)
6;6;8501;0;0;(Null)
6;7;8501;0;0;(Null)
6;8;8501;0;0;(Null)
7;1;3095;0;0;(Null)
7;2;3095;0;0;(Null)
7;3;3095;0;0;(Null)
7;4;2688;0;0;(Null)
7;5;3095;0;0;(Null)
7;6;3095;0;0;(Null)
7;7;3095;0;0;(Null)
7;8;3095;0;0;(Null)
8;1;3483;0;0;(Null)
8;2;3483;0;0;(Null)
8;3;3483;0;0;(Null)
8;4;3483;0;0;(Null)
8;5;3483;0;0;(Null)
8;6;3483;0;0;(Null)
8;7;3483;0;0;(Null)
8;8;3483;0;0;(Null)
9;1;2688;0;0;(Null)
9;2;2688;0;0;(Null)
9;3;2688;0;0;(Null)
9;4;2688;0;0;(Null)
9;5;2688;0;0;(Null)
9;6;2688;0;0;(Null)
9;7;2688;0;0;(Null)
9;8;2688;0;0;(Null)
10;1;8500;0;0;(Null)
10;2;8500;0;0;(Null)
10;3;3096;0;0;(Null)
10;8;8500;0;0;(Null)
11;1;8502;0;0;(Null)
11;2;3097;0;0;(Null)
11;3;3096;0;0;(Null)
11;4;2688;0;0;(Null)
11;5;3097;0;0;(Null)
11;6;8502;0;0;(Null)
11;7;8502;0;0;(Null)
11;8;3097;0;0;(Null)
12;1;8502;0;0;(Null)
12;2;3094;0;0;(Null)
12;3;8502;0;0;(Null)
12;4;2688;0;0;(Null)
12;5;3094;0;0;(Null)
12;6;8502;0;0;(Null)
12;7;8502;0;0;(Null)
12;8;3094;0;0;(Null)
13;1;3097;0;0;(Null)
13;2;3097;0;0;(Null)
13;3;3097;0;0;(Null)
13;8;3097;0;0;(Null)
15;2;2688;0;0;(Null)
15;3;2688;0;0;(Null)
15;5;2688;0;0;(Null)
15;6;2688;0;0;(Null)
15;7;2688;0;0;(Null)
16;2;2688;0;0;(Null)
16;3;2688;0;0;(Null)
16;5;2688;0;0;(Null)
16;6;2688;0;0;(Null)
16;7;2688;0;0;(Null)
18;2;2688;0;0;(Null)
18;3;2688;0;0;(Null)
18;4;2688;0;0;(Null)
18;5;2688;0;0;(Null)
18;6;2688;0;0;(Null)
18;7;2688;0;0;(Null)
18;8;2688;0;0;(Null)
21;1;2688;0;0;(Null)
21;2;2688;0;0;(Null)
21;3;2688;0;0;(Null)
21;4;2688;0;0;(Null)
21;5;2688;0;0;(Null)
21;6;2688;0;0;(Null)
21;7;2688;0;0;(Null)
21;8;2688;0;0;(Null)
21;9;2688;0;0;(Null)
21;10;2688;0;0;(Null)
21;11;2688;0;0;(Null)
21;12;2688;0;0;(Null)
21;13;2688;0;0;(Null)
21;14;2688;0;0;(Null)
21;15;2688;0;0;(Null)
21;16;2688;0;0;(Null)
21;17;2688;0;0;(Null)
21;18;2688;0;0;(Null)
21;19;2688;0;0;(Null)
21;20;2688;0;0;(Null)
21;21;2688;0;0;(Null)
21;22;2688;0;0;(Null)
